product_id,brand,name,Label,active_count_skin,skin,price,rank
4,IT COSMETICS,Your Skin But Better™ CC+™ Cream with SPF 50+,Moisturizer,5,Combination,38,4.1
17,CLINIQUE,Moisture Surge 72-Hour Auto-Replenishing Hydrator,Moisturizer,3,Combination,39,4.4
28,CLINIQUE,Dramatically Different Moisturizing Lotion+,Moisturizer,1,Combination,28,3.9
34,IT COSMETICS,Your Skin But Better CC+ Cream Oil-Free Matte with SPF 40,Moisturizer,4,Combination,38,3.9
36,LANEIGE,Water Sleeping Mask,Moisturizer,2,Combination,25,4.4
37,LANEIGE,Water Bank Moisture Cream,Moisturizer,4,Combination,35,4.4
42,CLINIQUE,Dramatically Different Moisturizing Gel,Moisturizer,1,Combination,28,4.5
70,IT COSMETICS,Your Skin But Better™ CC+Illumination™ Cream with SPF 50+,Moisturizer,5,Combination,38,3.9
77,LANEIGE,BB Cushion Hydra Radiance SPF 50,Moisturizer,3,Combination,38,4.3
83,IT COSMETICS,Confidence in a Cream™ Transforming Moisturizing Super Cream,Moisturizer,6,Combination,48,4.3
87,IT COSMETICS,Secret Sauce Clinically Advanced Miraculous Anti-Aging Moisturizer,Moisturizer,6,Combination,68,3.8
92,CLINIQUE,Moisture Surge Intense Skin Fortifying Hydrator,Moisturizer,1,Combination,39,4.4
94,LANEIGE,Water Bank Essence,Moisturizer,1,Combination,36,4.7
103,IT COSMETICS,Your Skin But Better™ CC+ Airbrush Perfecting Powder™ with SPF 50+,Moisturizer,5,Combination,35,3.6
105,CLINIQUE,Dramatically Different Hydrating Jelly,Moisturizer,1,Combination,28,4.0
124,IT COSMETICS,Bye Bye Redness™ Neutralizing Correcting Cream,Moisturizer,5,Combination,32,4.2
132,MURAD,Hydro-Dynamic® Ultimate Moisture,Moisturizer,2,Combination,75,4.4
133,IT COSMETICS,Miracle Water 3-in-1 Micellar Cleanser,Moisturizer,7,Combination,38,4.5
137,MURAD,Retinol Youth Renewal Night Cream,Moisturizer,1,Combination,82,4.6
146,LANEIGE,Water Bank Hydrating Gel,Moisturizer,4,Combination,35,4.6
148,DR. DENNIS GROSS SKINCARE,Ferulic + Retinol Anti-Aging Moisturizer,Moisturizer,5,Combination,75,4.1
150,MURAD,Oil-Control Mattifier SPF 15 PA++,Moisturizer,2,Combination,40,4.2
158,MURAD,Skin Perfecting Lotion - Blemish Prone/Oily Skin,Moisturizer,3,Combination,40,4.3
163,CLINIQUE,Acne Solutions BB Cream Broad Spectrum SPF 40,Moisturizer,1,Combination,39,4.1
167,MURAD,Essential-C Day Moisture Broad Spectrum SPF 30 PA+++,Moisturizer,2,Combination,63,4.0
168,CLINIQUE,Moisture Surge CC Cream Hydrating Colour Corrector Broad Spectrum SPF 30,Moisturizer,1,Combination,39,3.8
181,DR. DENNIS GROSS SKINCARE,Ferulic + Retinol Wrinkle Recovery Overnight Serum,Moisturizer,5,Combination,88,4.4
192,DR. DENNIS GROSS SKINCARE,C+ Collagen Deep Cream,Moisturizer,4,Combination,72,4.2
194,CLINIQUE,Limited Edition Dramatically Different™ Moisturizing Gel,Moisturizer,1,Combination,39,5.0
205,CLINIQUE,Moisture Surge Hydrating Supercharged Concentrate,Moisturizer,1,Combination,39,4.0
219,MURAD,Anti-Aging Moisturizer SPF 30 PA+++,Moisturizer,2,Combination,48,4.3
220,CLINIQUE,Moisture Surge Overnight Mask,Moisturizer,1,Combination,35,4.5
230,DR. DENNIS GROSS SKINCARE,Hyaluronic Marine Oil-Free Moisture Cushion,Moisturizer,4,Combination,60,4.2
232,CLINIQUE,Smart Night Custom-Repair Moisturizer - Very Dry to Dry,Moisturizer,3,Combination,58,4.7
233,MURAD,Nutrient-Charged Water Gel,Moisturizer,5,Combination,60,4.6
244,LANEIGE,Water Bank Dual Layer Face Oil,Moisturizer,1,Combination,38,5.0
270,CLINIQUE,Even Better Skin Tone Correcting Moisturizer Broad Spectrum SPF 20,Moisturizer,3,Combination,50,4.1
275,CLINIQUE,Superdefense SPF 20 Age Defense Moisturizer Very Dry to Dry Combination,Moisturizer,1,Combination,48,4.4
279,CLINIQUE,Limited Edition Dramatically Different Moisturizing Lotion+™,Moisturizer,1,Combination,39,0.0
284,CLINIQUE,Repairwear Laser Focus Night Line Smoothing Cream for Very Dry to Dry Combination Skin,Moisturizer,3,Combination,52,4.7
311,FIRST AID BEAUTY,Face Cleanser,Cleanser,2,Combination,20,4.4
319,OLEHENRIKSEN,Balancing Force™ Oil Control Toner,Cleanser,3,Combination,26,4.4
327,OLEHENRIKSEN,The Clean Truth™ Foaming Cleanser,Cleanser,1,Combination,30,4.4
334,CLINIQUE,Liquid Facial Soap,Cleanser,1,Combination,18,4.4
342,CLINIQUE,Clarifying Lotion 2,Cleanser,1,Combination,16,4.4
348,GLAMGLOW,YOUTHMUD™ Tinglexfoliate Treatment,Cleanser,1,Combination,59,4.1
363,CLINIQUE,Acne Solutions Cleansing Foam,Cleanser,1,Combination,21,4.2
368,MURAD,AHA/BHA Exfoliating Cleanser,Cleanser,4,Combination,39,4.6
373,CLINIQUE,Exfoliating Scrub,Cleanser,2,Combination,22,4.7
377,OLEHENRIKSEN,Pore-Balance™ Facial Sauna Scrub,Cleanser,3,Combination,28,4.6
383,GLAMGLOW,FLASHMUD™ Brightening Treatment,Cleanser,4,Combination,59,4.1
384,MURAD,Time Release Acne Cleanser,Cleanser,3,Combination,38,4.4
390,CLINIQUE,Clarifying Lotion 3,Cleanser,2,Combination,16,4.4
392,CLINIQUE,Rinse-Off Foaming Cleanser,Cleanser,1,Combination,21,4.6
400,OLEHENRIKSEN,Truth™ On the Glow Cleansing Cloths,Cleanser,2,Combination,15,4.2
409,GLAMGLOW,SUPERCLEANSE™ Clearing Cream-to-Foam Cleanser,Cleanser,2,Combination,32,3.9
410,MURAD,Essential-C Cleanser,Cleanser,2,Combination,39,4.5
411,OLEHENRIKSEN,Face the Truth™ Gel Cleanser,Cleanser,1,Combination,24,4.5
415,OLEHENRIKSEN,Find Your Balance™ Oil Control Cleanser,Cleanser,3,Combination,25,4.5
416,CLINIQUE,Pep-Start 2-in-1 Exfoliating Cleanser,Cleanser,2,Combination,19,4.5
417,FIRST AID BEAUTY,FAB Skin Lab Resurfacing Liquid 10% AHA,Cleanser,5,Combination,55,4.5
429,CLINIQUE,7 Day Scrub Cream Rinse-Off Formula,Cleanser,1,Combination,22,4.6
433,FIRST AID BEAUTY,Skin Rescue Deep Cleanser With Red Clay,Cleanser,1,Combination,24,4.3
452,MURAD,Clarifying Toner,Cleanser,1,Combination,24,0.0
486,MURAD,Essential-C Toner,Cleanser,2,Combination,30,4.4
488,MURAD,Renewing Cleansing Cream,Cleanser,2,Combination,39,4.5
489,GLAMGLOW,YOUTHCLEANSE™ Daily Exfoliating Cleanser,Cleanser,1,Combination,32,4.2
494,OLEHENRIKSEN,Stay Balanced™ Oil Control Cleansing Cloths,Cleanser,3,Combination,8,4.5
503,MURAD,Hydrating Toner,Cleanser,1,Combination,30,4.4
504,GLAMGLOW,BUBBLESHEET™ Oxygenating Deep Cleanse Mask,Cleanser,4,Combination,9,4.3
505,CLINIQUE,Clarifying Lotion 1,Cleanser,2,Combination,16,4.5
520,MURAD,Pore Reform™ Skin Smoothing Polish,Cleanser,1,Combination,34,4.5
533,FIRST AID BEAUTY,Skin Rescue Acne Clearing Charcoal Cleanser with Probiotics,Cleanser,1,Combination,24,3.9
538,CLINIQUE,Fresh Pressed 7-day System with Pure Vitamin C,Cleanser,4,Combination,27,4.1
542,GLAMGLOW,POWERMUD™ Dualcleanse Treatment,Cleanser,2,Combination,59,3.9
543,FIRST AID BEAUTY,Facial Radiance Polish,Cleanser,3,Combination,25,4.2
550,OLEHENRIKSEN,So Nurturing™ Cleansing Cloths,Cleanser,3,Combination,15,4.0
551,MURAD,Hydro-Dynamic® Quenching Essence,Cleanser,2,Combination,78,4.3
554,OLEHENRIKSEN,Wonderfeel™ Double Cleanser,Cleanser,2,Combination,32,4.4
560,CLINIQUE,Clarifying Lotion 4,Cleanser,2,Combination,16,4.4
565,CLINIQUE,Fresh Pressed Renewing Powder Cleanser with Pure Vitamin C,Cleanser,3,Combination,29,4.9
567,MURAD,Refreshing Cleanser,Cleanser,1,Combination,39,4.4
584,DR. DENNIS GROSS SKINCARE,Alpha Beta® Extra Strength Daily Peel,Treatment,6,Combination,88,4.5
591,DR. DENNIS GROSS SKINCARE,Alpha Beta® Universal Daily Peel,Treatment,6,Combination,88,4.5
605,PETER THOMAS ROTH,Potent-C™ Power Serum,Treatment,1,Combination,95,4.3
607,DR. DENNIS GROSS SKINCARE,Ferulic Acid + Retinol Brightening Solution,Treatment,4,Combination,88,4.1
608,MURAD,Rapid Age Spot and Pigment Lightening Serum,Treatment,2,Combination,69,3.8
615,KATE SOMERVILLE,EradiKate™ Acne Treatment,Treatment,1,Combination,26,4.3
616,PETER THOMAS ROTH,Professional 3% Retinoid Plus,Treatment,3,Combination,82,4.6
620,PETER THOMAS ROTH,Max Complexion Correction Pads,Treatment,2,Combination,40,4.4
626,PETER THOMAS ROTH,Retinol Fusion PM,Treatment,2,Combination,65,4.4
628,PETER THOMAS ROTH,FIRMx™ Peeling Gel,Treatment,1,Combination,48,4.6
631,CLINIQUE,Clinique Smart Custom-Repair Serum,Treatment,3,Combination,60,4.0
640,MURAD,Invisiblur™ Perfecting Shield Broad Spectrum SPF 30 PA+++,Treatment,2,Combination,65,3.9
645,MURAD,Retinol Youth Renewal Serum,Treatment,3,Combination,88,4.3
647,PETER THOMAS ROTH,Un-Wrinkle Peel Pads,Treatment,5,Combination,45,4.6
649,DR. DENNIS GROSS SKINCARE,Alpha Beta® Ultra Gentle Daily Peel for Sensitive Skin,Treatment,7,Combination,88,4.3
651,KATE SOMERVILLE,D-Scar™ Scar Diminishing Serum,Treatment,1,Combination,48,4.2
668,CLINIQUE,Even Better Clinical Dark Spot Corrector & Optimizer,Treatment,4,Combination,80,3.1
677,MURAD,Active Retinol Renewal Kit,Treatment,3,Combination,68,5.0
678,KATE SOMERVILLE,Anti Bac Clearing Lotion,Treatment,1,Combination,42,4.4
681,PETER THOMAS ROTH,Water Drench Hyaluronic Cloud Serum,Treatment,1,Combination,65,4.2
683,MURAD,Revitalixir™ Recovery Serum,Treatment,2,Combination,89,4.5
689,DR. DENNIS GROSS SKINCARE,C+ Collagen Brighten & Firm Vitamin C Serum,Treatment,3,Combination,78,3.9
693,KATE SOMERVILLE,+Retinol Vita C Power Serum,Treatment,4,Combination,98,3.9
695,CLINIQUE,Fresh Pressed Daily Booster with Pure Vitamin C 10%,Treatment,3,Combination,19,4.0
703,PETER THOMAS ROTH,Acne System,Treatment,2,Combination,35,4.3
711,KATE SOMERVILLE,Quench Hydrating Face Serum,Treatment,2,Combination,75,4.2
714,MURAD,Eye Lift Firming Treatment,Treatment,1,Combination,68,4.0
716,PETER THOMAS ROTH,PROfessional Strength 40% Triple Acid Peel,Treatment,4,Combination,88,4.0
720,MURAD,Rapid Resurfacing Peel,Treatment,2,Combination,44,4.7
721,PETER THOMAS ROTH,Acne-Clear Invisible Dots,Treatment,1,Combination,30,3.6
728,MURAD,Outsmart Acne Clarifying Treatment,Treatment,2,Combination,44,4.3
735,DR. DENNIS GROSS SKINCARE,Ferulic + Retinol Wrinkle Recovery Peel,Treatment,4,Combination,88,4.4
737,DR. DENNIS GROSS SKINCARE,Hyaluronic Marine Hydration Booster,Treatment,7,Combination,68,4.4
739,KATE SOMERVILLE,Breakout Fighters,Treatment,1,Combination,55,4.0
